Datetime,UKREIS,UJAHR,UMONAT,UWOCHENTAG,USTUNDE,UKATEGORIE,UART,UTYP1,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstig,ULICHTVERH,STRZUSTAND,longitude,latitude,Stadtteil,Ortsteil,Datetime
2016-02-01,12,2016,2,4,14,3,5,3,1,1,0,0,0,0,0,0,8.586239695,53.536874542,Geestemünde,Geestemünde-Nord,2016-2
2016-08-01,11,2016,8,3,11,2,3,6,1,0,0,0,0,0,0,0,8.765933106,53.060572468,Huchting,Grolland,2016-8
2016-11-01,11,2016,11,4,10,3,5,3,1,1,0,0,0,0,0,0,8.796776803,53.056724486,Neustadt,Neuenland,2016-11
2016-10-01,12,2016,10,3,15,3,5,3,1,1,0,0,0,0,0,0,8.575063917,53.544810855,Mitte (BHV),Mitte-Süd,2016-10
2016-08-01,11,2016,8,6,13,3,6,4,1,0,1,0,0,0,0,0,8.819468898,53.048220842,Neustadt,Huckelriede,2016-8
2016-04-01,11,2016,4,4,15,3,5,2,1,1,0,0,0,0,0,0,8.782174673,53.06691632,Neustadt,Neuenland,2016-4
2016-08-01,12,2016,8,6,13,3,5,2,1,1,0,0,0,0,0,0,8.5752452,53.547669718,Mitte (BHV),Mitte-Süd,2016-8
2016-12-01,11,2016,12,4,17,3,5,3,1,1,0,0,0,0,2,0,8.736620022,53.142592661,Gröpelingen,Oslebshausen,2016-12
2016-04-01,12,2016,4,5,14,2,5,3,1,1,0,0,0,0,0,0,8.586233243,53.536858281,Geestemünde,Geestemünde-Nord,2016-4
2016-10-01,11,2016,10,6,17,3,5,2,1,1,0,0,0,0,0,0,8.79813765,53.055919692,Neustadt,Neuenland,2016-10
2016-10-01,11,2016,10,3,16,3,5,3,1,1,0,0,0,0,0,0,8.815460942,53.042127931,Obervieland,Kattenturm,2016-10
2016-04-01,11,2016,4,2,14,3,0,7,1,0,0,0,1,0,0,0,8.802391231,53.053681277,Neustadt,Huckelriede,2016-4
2016-08-01,11,2016,8,5,8,3,5,2,1,1,0,0,0,0,0,0,8.78232412,53.066823945,Neustadt,Neustadt,2016-8
2016-01-01,11,2016,1,5,18,3,4,2,1,0,0,0,0,0,2,1,8.837614224,53.077521113,Östliche Vorstadt,Hulsberg,2016-1
2016-01-01,11,2016,1,2,12,3,5,3,1,1,0,0,0,0,0,1,8.556715767,53.188876144,Blumenthal,Blumenthal,2016-1
2016-01-01,11,2016,1,4,19,3,5,3,1,1,0,0,0,0,2,1,8.838004567,53.067872136,Östliche Vorstadt,Peterswerder,2016-1
2016-01-01,11,2016,1,2,12,3,1,5,1,1,0,0,0,0,0,1,8.865293972,53.086364027,Schwachhausen,Radio Bremen,2016-1
2016-01-01,11,2016,1,6,7,2,0,1,1,0,0,0,0,0,1,2,8.853601762,53.083118963,Schwachhausen,Radio Bremen,2016-1
2016-01-01,11,2016,1,5,19,3,2,6,1,1,0,0,0,0,2,2,8.844116549,53.089800217,Schwachhausen,Riensberg,2016-1
2016-01-01,11,2016,1,4,9,3,5,3,1,1,0,0,0,0,0,1,8.824692533,53.084149741,Schwachhausen,Barkhof,2016-1
2016-01-01,11,2016,1,4,7,2,5,3,1,1,0,0,0,0,2,1,8.7388699,53.132916295,Gröpelingen,Oslebshausen,2016-1
2016-01-01,11,2016,1,7,4,3,0,1,1,0,0,0,0,0,2,2,8.900954103,53.089503932,Horn-Lehe,Horn,2016-1
2016-02-01,11,2016,2,5,10,3,5,3,1,0,0,1,0,0,0,0,8.889768196,53.098752264,Horn-Lehe,Lehesterdeich,2016-2
2016-03-01,11,2016,3,4,10,3,5,3,1,1,0,0,0,0,0,1,8.635983191,53.171282924,Vegesack,Grohn,2016-3
2016-03-01,11,2016,3,3,8,3,0,1,1,0,0,0,0,0,0,0,8.801315306,53.071494269,Neustadt,Alte Neustadt,2016-3
2016-02-01,11,2016,2,6,13,3,5,3,1,1,0,0,0,0,0,0,8.877945722,53.101386713,Horn-Lehe,Lehe,2016-2
2016-02-01,11,2016,2,3,8,3,5,2,1,1,0,0,0,0,0,0,8.792845982,53.073578961,Neustadt,Alte Neustadt,2016-2
2016-01-01,11,2016,1,3,10,2,0,1,1,0,0,0,0,0,0,0,8.935699163,53.09007034,Oberneuland,Unbekannt,2016-1
2016-02-01,11,2016,2,2,13,3,0,1,1,0,0,0,0,0,0,1,8.71435687,53.182078147,Burglesum,Burgdamm,2016-2
2016-03-01,11,2016,3,6,12,3,5,3,1,1,0,0,0,0,0,0,8.750082588,53.125848633,Gröpelingen,Ohlenhof,2016-3
2016-02-01,11,2016,2,3,15,3,5,3,1,1,0,0,0,0,0,1,8.875541387,53.062067344,Hemelingen,Hastedt,2016-2
2016-02-01,11,2016,2,6,10,3,3,6,1,0,0,0,0,0,0,0,8.799444343,53.069834378,Neustadt,Alte Neustadt,2016-2
2016-02-01,11,2016,2,5,18,3,5,3,1,1,0,0,0,0,2,1,8.837106486,53.082637404,Schwachhausen,Schwachhausen,2016-2
2016-02-01,11,2016,2,6,16,3,5,2,1,1,0,0,0,0,0,0,8.810614008,53.081875461,Mitte,Bahnhofsvorstadt,2016-2
2016-02-01,11,2016,2,7,11,3,5,2,1,1,0,0,0,0,0,0,8.786797304,53.074498301,Neustadt,Alte Neustadt,2016-2
2016-02-01,11,2016,2,6,14,3,0,3,1,0,0,0,0,1,0,0,8.79107263,53.074420376,Neustadt,Alte Neustadt,2016-2
2016-02-01,11,2016,2,6,19,3,0,7,1,0,0,0,0,0,2,0,8.807321527,53.082164217,Mitte,Bahnhofsvorstadt,2016-2
2016-02-01,11,2016,2,6,5,3,5,3,1,0,0,0,0,0,2,1,8.81582281,53.07446082,Mitte,Ostertor,2016-2
2016-02-01,11,2016,2,6,12,2,0,1,1,0,0,0,0,0,0,0,8.870184272,53.102140597,Horn-Lehe,Lehe,2016-2
2016-03-01,11,2016,3,4,7,3,5,3,1,1,0,0,0,0,0,1,8.634113944,53.182703527,Vegesack,Schönebeck,2016-3
2016-02-01,11,2016,2,2,10,3,0,1,1,0,0,0,0,0,0,1,8.770262255,53.072310781,Woltmershausen,Woltmershausen,2016-2
2016-02-01,11,2016,2,5,7,3,0,1,1,0,0,0,0,0,0,2,8.930578089,53.068736191,Osterholz,Ellener Feld,2016-2
2016-02-01,11,2016,2,2,18,2,5,3,1,1,0,0,0,0,2,1,8.807356073,53.082339261,Mitte,Bahnhofsvorstadt,2016-2
2016-02-01,12,2016,2,2,16,3,6,7,1,0,1,0,0,0,0,0,8.592278328,53.51639085,Wulsdorf,Dreibergen,2016-2
2016-02-01,11,2016,2,5,10,3,5,2,1,0,0,0,1,0,0,0,8.831329483,53.081265913,Schwachhausen,Barkhof,2016-2
2016-02-01,11,2016,2,5,12,3,0,5,1,1,0,0,0,0,0,0,8.802581332,53.067373306,Neustadt,Buntentor,2016-2
2016-01-01,11,2016,1,1,4,3,0,1,1,0,0,0,0,0,2,1,8.808464617,53.088079479,Findorff,Findorff-Bürgerweide,2016-1
2016-03-01,11,2016,3,5,16,2,0,7,1,0,0,0,0,1,0,0,8.621389276,53.172071218,Vegesack,Vegesack,2016-3
2016-01-01,11,2016,1,2,16,2,0,1,1,0,0,0,0,0,1,1,8.871147347,53.061774517,Hemelingen,Hastedt,2016-1
2016-02-01,11,2016,2,6,8,3,5,2,1,1,0,0,0,0,0,0,8.77783317,53.099440454,Walle,Walle,2016-2
2016-02-01,12,2016,2,5,15,3,5,3,1,1,0,0,0,0,0,0,8.608847635,53.586867854,Leherheide,Königsheide,2016-2
2016-01-01,11,2016,1,7,20,3,0,7,1,0,0,0,0,0,2,1,8.820560699,53.07268377,Mitte,Ostertor,2016-1
2016-02-01,11,2016,2,2,9,3,5,3,1,1,0,0,0,0,0,0,8.741398264,53.048437663,Huchting,Kirchhuchting,2016-2
2016-01-01,11,2016,1,7,3,3,0,7,1,0,0,0,0,0,2,0,8.801194857,53.068232461,Neustadt,Südervorstadt,2016-1
2016-02-01,11,2016,2,1,11,3,5,3,1,1,0,0,0,0,0,0,8.818102926,53.077723658,Mitte,Ostertor,2016-2
2016-03-01,12,2016,3,3,13,3,1,5,1,1,0,0,0,0,0,0,8.584696902,53.540601103,Mitte (BHV),Mitte-Süd,2016-3
2016-02-01,11,2016,2,4,13,3,5,2,1,1,0,0,0,0,0,0,8.952718168,53.068932465,Osterholz,Ellenerbrok-Schevemoor,2016-2
2016-02-01,11,2016,2,6,9,3,1,5,1,1,0,0,0,0,0,0,8.849983713,53.081303897,Schwachhausen,Gete,2016-2
2016-01-01,12,2016,1,6,15,3,5,3,1,1,0,0,0,0,0,1,8.577351311,53.548351462,Mitte (BHV),Mitte-Süd,2016-1
2016-02-01,11,2016,2,6,12,2,0,7,1,0,1,0,0,0,0,0,8.786693355,53.100470299,Walle,Walle,2016-2
2016-02-01,11,2016,2,4,7,3,5,3,1,1,0,0,0,0,0,0,8.901179522,53.089461124,Oberneuland,Unbekannt,2016-2
2016-02-01,11,2016,2,7,19,3,5,3,1,1,0,0,0,0,2,1,8.686075634,53.173352599,Burglesum,Lesum,2016-2
2016-02-01,11,2016,2,4,12,3,6,4,1,0,1,0,0,0,0,0,8.78068495,53.098041666,Walle,Walle,2016-2
2016-01-01,11,2016,1,6,16,3,0,1,1,0,0,0,0,0,0,1,8.802416094,53.067476752,Neustadt,Buntentor,2016-1
